h,core_total_vertices,core_mean_lower_bound,core_mean_upper_bound,core_sampling_se
1,2,1.0454018307634583,1.0454018310933015,0.04620187923701917
2,3,0.7538311416489766,0.7538311419788196,0.035865497810212046
3,4,0.5798224897046622,0.5798224900345054,0.029405059190753736
4,5,0.48390691447116146,0.4839069148010046,0.025566852898610302
5,6,0.41126899399298744,0.41126899432283054,0.02247580066408212
6,7,0.3585821853019478,0.3585821856317909,0.01996715379905071
7,8,0.3161668409895062,0.3161668413193493,0.017536389624955982
8,9,0.282101751513612,0.28210175184345515,0.015805480813199903
9,10,0.25430164533353067,0.2543016456633738,0.01438307266529312
10,11,0.23176252140179124,0.2317625217316344,0.013239711118889387
11,12,0.2132136733169533,0.21321367364679641,0.012425436736293195
12,13,0.19753125779066658,0.19753125812050973,0.011738284537724342
13,14,0.18387781206846848,0.18387781239831164,0.011089468407371161
14,15,0.17231565167806545,0.1723156520079086,0.010577828883470475
15,16,0.1616628742518794,0.16166287458172254,0.010072929351772715
16,17,0.1524248910040076,0.1524248913338508,0.009595646196914647
17,18,0.1441101686884507,0.14411016901829385,0.00914741594825262
18,19,0.1368683538671113,0.13686835419695445,0.008788241755246912
19,20,0.1300957206953804,0.13009572102522354,0.008412898372534729
20,21,0.12407045179151895,0.12407045212136211,0.008090453929904186
21,22,0.11856079413980188,0.11856079446964504,0.007767507163588466
22,23,0.11357659364888771,0.11357659397873089,0.007506395087083966
23,24,0.10897006753097677,0.10897006786081993,0.007253817565218798
24,25,0.10454862268461132,0.10454862301445449,0.0070047213536747035
25,26,0.10053186020626671,0.1005318605361099,0.006782264932083152
26,27,0.09696227173778664,0.09696227206762982,0.006586977044996153
27,28,0.09360378839852926,0.09360378872837243,0.006415631497162585
28,29,0.09049632346221614,0.09049632379205931,0.006264388562675436
29,30,0.08762414085807185,0.08762414118791502,0.006113706161874522
30,31,0.08479209994824718,0.08479210027809035,0.005944881868300421
31,32,0.08208963745682778,0.08208963778667094,0.005784973520347325
32,33,0.0795876378519815,0.07958763818182467,0.005635870980134282
33,34,0.07721301859327033,0.0772130189231135,0.005485120021774534
34,35,0.07493491725319429,0.07493491758303746,0.005346550475307356
35,36,0.07276028706896605,0.07276028739880923,0.0052051107622028015
36,37,0.07068247892062825,0.07068247925047141,0.005070026234571672
37,38,0.06871053889344025,0.06871053922328343,0.004945084459374744
38,39,0.06683573884129557,0.06683573917113873,0.004823874168899509
39,40,0.06508417809653724,0.06508417842638041,0.0047145617778508375
40,41,0.06340615833536938,0.06340615866521254,0.004608576889003585
41,42,0.06181260555822872,0.061812605888071886,0.004509148424340945
42,43,0.060280808193444085,0.06028080852328725,0.004410037528408277
43,44,0.058829501149735175,0.05882950147957834,0.00431404269333122
44,45,0.057437428072074734,0.0574374284019179,0.004225909136229226
45,46,0.05611263351747876,0.05611263384732193,0.004142709501966568
46,47,0.054854537134772924,0.05485453746461609,0.004063719500016922
47,48,0.053631309956926006,0.05363131028676917,0.003984245955045283
48,49,0.052470217680442965,0.05247021801028613,0.003911047139588908
49,50,0.051356295462589824,0.051356295792433,0.0038379742438308315
50,51,0.05027338412966737,0.05027338445951054,0.0037676332049926533
51,52,0.04923626590861737,0.04923626623846054,0.0036994919852984726
52,53,0.048243517782560176,0.04824351811240334,0.0036363363324334115
53,54,0.04729571414162161,0.04729571447146478,0.0035743013064413014
54,55,0.04638076344760904,0.046380763777452205,0.003513691931777416
55,56,0.04549326700655234,0.04549326733639551,0.0034558754016539043
56,57,0.04464313643604033,0.044643136765883495,0.0033969515039883567
57,58,0.04382594486286499,0.04382594519270817,0.0033416773941794095
58,59,0.043033885285572275,0.04303388561541544,0.0032894819704627327
59,60,0.04227026491436577,0.04227026524420894,0.003239442080878698
60,61,0.04152500015119503,0.041525000481038195,0.003189394440934506
61,62,0.04080524244441106,0.04080524277425423,0.0031399116368667954
62,63,0.04010969108122709,0.04010969141107026,0.0030933533988652005
63,64,0.03943245810616186,0.03943245843600503,0.0030461769107185707
64,65,0.03877703128017793,0.03877703161002111,0.0030018435710767026
65,66,0.03814117160999397,0.03814117193983713,0.0029575620746601734
66,67,0.037526043573096676,0.03752604390293985,0.002914015289478239
67,68,0.036935178346079185,0.03693517867592235,0.0028725321786713222
68,69,0.03635815806192064,0.03635815839176381,0.002831491891191698
69,70,0.035795239865473234,0.0357952401953164,0.0027907384405895385
70,71,0.03524636074649568,0.035246361076338856,0.0027514757607585796
71,72,0.034708197163045774,0.03470819749288894,0.002711426341052306
72,73,0.03418682853143302,0.03418682886127619,0.0026724523540602404
73,74,0.03368293110896903,0.0336829314388122,0.002634792967353007
74,75,0.033195325201246254,0.03319532553108943,0.0025987857042060088
75,76,0.032722415462869775,0.03272241579271294,0.002563775458917211
76,77,0.032266287891035424,0.03226628822087859,0.002531206803640178
77,78,0.0318141047463473,0.03181410507619047,0.002496517190045181
78,79,0.03137846455568643,0.031378464885529596,0.0024646914296131534
79,80,0.030953616260837126,0.030953616590680296,0.0024335997793733877
80,81,0.03053847833039525,0.03053847866023842,0.002402528370962389
81,82,0.030136853251351712,0.030136853581194882,0.002372448550646949
82,83,0.0297451097234706,0.029745110053313772,0.002343145616816948
83,84,0.029366589715393656,0.029366590045236826,0.0023146701586770416
84,85,0.028993572528148936,0.028993572857992107,0.0022863982805283577
85,86,0.02863212076492265,0.02863212109476582,0.0022590610727380943
86,87,0.028279875434797316,0.02827987576464049,0.002232224236470689
87,88,0.02793593896923195,0.02793593929907512,0.0022062188457845876
88,89,0.02760174155205144,0.02760174188189461,0.0021807642159470198
89,90,0.027272899124415346,0.027272899454258516,0.0021557804938439405
90,91,0.026954613912306784,0.026954614242149955,0.0021315227185073104
91,92,0.02664135427243592,0.02664135460227909,0.0021075011756143775
92,93,0.026337202621563638,0.026337202951406808,0.0020845263579896485
93,94,0.02604070365112465,0.02604070398096782,0.0020619069928717363
94,95,0.025750860503119352,0.025750860832962522,0.002039478658534138
95,96,0.025467828144326077,0.025467828474169247,0.0020177270684738602
96,97,0.025192463403985104,0.025192463733828274,0.001996773562414134
97,98,0.024922743406938366,0.024922743736781536,0.001976168338863929
98,99,0.024655856280244838,0.024655856610088008,0.001955459886507589
99,100,0.02439442570155679,0.02439442603139996,0.0019349241135770965
100,101,0.024139116812961353,0.024139117142804523,0.0019149465767762197
