d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
8,0.03716272234383503,0.1,0.014817259892012184,0.10347176969792679,8,1.1657560145439338,finite,2.048802274948269,1.6232492903979003,42,4.200000e+1,5.204170427930421e-18,0.0
3,0.04419417382415922,0.1,0.017616600444454178,0.03519894379646463,3,4.828324050754885,finite,7.287200317728211,0.9030899869919434,8,8.000000e+0,1.0408340855860843e-17,0.0
4,0.04419417382415922,0.1,0.017616600444454178,0.05277279750509828,4,2.677704819198676,finite,3.7219753426303175,1.0,10,1.000000e+1,1.0408340855860843e-17,0.0
5,0.04419417382415922,0.1,0.017616600444454178,0.07032963839617871,5,1.9148616950740716,finite,2.7805229412251355,1.1760912590556811,15,1.500000e+1,1.0408340855860843e-17,0.0
6,0.04419417382415922,0.1,0.017616600444454178,0.08786951561489946,6,1.5110258825276632,finite,2.37517664594191,1.3617278360175928,23,2.300000e+1,1.0408340855860843e-17,0.0
7,0.04419417382415922,0.1,0.017616600444454178,0.1053924780401074,7,1.255784635107478,finite,2.157840613150386,1.5440680443502754,35,3.500000e+1,1.0408340855860843e-17,0.0
8,0.04419417382415922,0.1,0.017616600444454178,0.12289857428660733,8,1.0773343589848445,finite,2.025579505448647,1.7481880270062005,56,5.600000e+1,1.0408340855860843e-17,0.0
3,0.052556025953357156,0.1,0.02094274746295282,0.04182800478736054,3,4.579387007284811,finite,7.014852536876077,0.9030899869919434,8,8.000000e+0,6.938893903907228e-18,0.0
4,0.052556025953357156,0.1,0.02094274746295282,0.06269906607640485,4,2.520824457484284,finite,3.6147703096077235,1.041392685158225,11,1.100000e+1,6.938893903907228e-18,0.0
5,0.052556025953357156,0.1,0.02094274746295282,0.0835416556466121,5,1.7906802271740712,finite,2.7190212618594374,1.2304489213782739,17,1.700000e+1,6.938893903907228e-18,0.0
