h,log_rms_lower_bound,rms_lower_bound,level,tau,b,delta,eps,lam,A,B,truncation_power,absolute_error_lower_bound,tail_threshold
1,-1.055642355326943,0.34796883586598076,1,20.326530612244902,0.11813295959634018,2.501032289896846,0.06846683292203251,0.7573572867130306,2.272071860139092,0.12840351476447504,1,0.005495182167115329,21.244927416701742
2,-2.7910974130919906,0.061353846442458,2,20.326530612244902,0.11813295959634018,2.6016082790068755,0.09732477187597378,0.6381087073427248,1.9143261220281746,0.184631174856729,2,0.00015257613903397227,23.98210959923794
3,-3.4120702304965134,0.03297286823127733,2,20.326530612244902,0.11813295959634018,2.4105255113514996,0.05968423195898413,0.7347888987550225,2.2043666962650676,0.14876663631475975,2,4.2579054389300565e-05,24.871516288491833
4,-4.312764748747433,0.013396460499470438,2,20.326530612244902,0.11813295959634018,2.490409055675909,0.031010342544114212,0.8112862708950145,2.4338588126850436,0.1091356109788341,2,6.715200846655534e-06,26.0967007219944
5,-4.820439441691153,0.008063243035287557,3,20.326530612244902,0.11813295959634018,2.4740831416886055,0.07932922959702714,0.6836774110798006,2.0510322332394018,0.1691040981538803,2,2.3754901542043065e-06,26.757798160271413
6,-5.122707693441209,0.005959863544165595,3,20.326530612244902,0.11813295959634018,2.423914030067709,0.06661705262090896,0.7166074174215025,2.1498222522645074,0.15641730038539614,2,1.280246254417625e-06,27.1423555066254
7,-5.445224466299811,0.004316870906832695,3,20.326530612244902,0.11813295959634018,2.4075612186165545,0.055582616577237794,0.7456115699427187,2.2368347098281562,0.14395773267944448,2,6.622741224650411e-07,27.545698213909176
8,-5.798180129735766,0.003033069518794301,3,20.326530612244902,0.11813295959634018,2.4171762411354587,0.0457990951179649,0.7716037699784143,2.314811309935243,0.13149267569361442,2,3.2208737210745994e-07,27.97929473451148
9,-6.195477301464297,0.002038629926389939,3,20.326530612244902,0.11813295959634018,2.4502881430250922,0.0369866710978511,0.7952008564220477,2.385602569266143,0.11878890194396842,2,1.4316037320272576e-07,28.458143288988598
10,-6.5609473876767845,0.0014145449528819173,4,20.326530612244902,0.11813295959634018,2.4814523748659107,0.08070398372356698,0.6801507349241189,2.0404522047723566,0.17038392702788063,2,6.793518625613974e-08,28.890492897229496
11,-6.7046997133834605,0.0012251405420238822,4,20.326530612244902,0.11813295959634018,2.4554733441717844,0.07548141351588697,0.6935853387734022,2.0807560163202066,0.1654308215265187,2,5.067734894928284e-08,29.058509312349848
12,-6.848336314770198,0.0010612197607154184,4,20.326530612244902,0.11813295959634018,2.4363398302663684,0.07065993163754987,0.7060746007010538,2.118223802103161,0.1606282076479819,2,3.7815003513980084e-08,29.225275132019
13,-6.99255665625664,0.0009186947399340957,4,20.326530612244902,0.11813295959634018,2.4227660857426203,0.066178035698717,0.7177543627512467,2.1532630882537402,0.15594938029610939,2,2.8185503843967663e-08,29.391619890757465
