h,ensemble_error_upper_bound
1,14.579567675842226
2,7.805799181787126
3,5.4162798373241525
4,4.179170618848188
5,3.417765253427487
6,2.899838572893257
7,2.523670745718162
8,2.2374988972551626
9,2.012136980221498
10,1.8298477576224563
11,1.6792157621986104
12,1.5525534133025887
13,1.4444896419319726
14,1.3511557736151432
15,1.269692863494116
16,1.1979413553107983
17,1.134238811025407
18,1.0772841515651648
19,1.0260441816688781
20,0.9796877689941011
21,0.9375385662996667
22,0.8990404457830926
23,0.8637318224314772
24,0.8312263046948051
25,0.8011979221367046
26,0.7733697127230639
27,0.7475048093480892
28,0.7233994084493846
29,0.7008771720154043
30,0.6797847326711483
31,0.6599880558606167
32,0.6413694739802233
33,0.6238252517174069
34,0.6072635746067738
35,0.5916028772306312
36,0.5767704458598654
37,0.5627012442748494
38,0.5493369221790525
39,0.5366249738518236
40,0.5245180210859199
41,0.5129731994634484
42,0.5019516309692674
43,0.49141796906857865
44,0.48134000486964396
45,0.4716883249928245
46,0.4624360133799133
47,0.45355839058472336
48,0.4450327851502515
49,0.4368383325485505
50,0.42895579787505295
51,0.4213674190796981
52,0.41405676800659386
53,0.40700862692108597
54,0.4002088785430458
55,0.3936444078900732
56,0.38730301447387055
57,0.3811733335951518
58,0.3752447656535247
59,0.3695074125340161
60,0.36395202025558704
61,0.3585699271725859
62,0.35335301711053496
63,0.3482936768952813
64,0.3433847578013907
65,0.3386195405033376
66,0.33399170316293947
67,0.32949529232974384
68,0.3251246963686701
69,0.3208746211619477
70,0.31674006786096304
71,0.3127163124886226
72,0.30879888721473053
73,0.3049835631461083
74,0.3012663344900918
75,0.29764340396495026
76,0.29411116934391535
77,0.2906662110311615
78,0.2873052805783645
79,0.28402529005962085
80,0.28082330223063784
81,0.2776965214053239
82,0.2746422849893729
83,0.27165805561617273
84,0.26874141383552935
85,0.2658900513102905
86,0.26310176448009204
87,0.260374448655146
88,0.25770609250632864
89,0.2550947729208213
90,0.2525386501952524
91,0.25003596354073887
92,0.24758502687640943
93,0.24518422488999655
94,0.24283200934587393
95,0.24052689562255844
96,0.23826745946317004
97,0.23605233392368885
98,0.23388020650507704
99,0.23174981645643816
100,0.22965995223740449
